Villa Name,Wiki Link Text,Wiki Link,Grid Reference,Link,latitude,longitude
Colworth,Colworth House,/wiki/Colworth_House,SP971603,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=346800&resourceID=19191,52.232347927075466,-0.5794177689823833
Totternhoe,Totternhoe,/wiki/Totternhoe,SP98932080,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=346563&resourceID=19191,51.877005954372805,-0.5640506705737869
Aldermaston Wharf,Aldermaston Wharf,/wiki/Aldermaston_Wharf,SU605681,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=240982&resourceID=19191,51.40870845796113,-1.1314950542189088
Basildon,Lower Basildon,/wiki/Lower_Basildon,SU60797929,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=241288&resourceID=19191,51.50928098277029,-1.1254048524666487
Birch Farm,Marlston,/wiki/Marlston,SU529738,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=237393&resourceID=19191,51.46071425685992,-1.239920511162463
Cox Green,Cox Green,/wiki/Cox_Green_Berkshire,SU86877979,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=247961&resourceID=19191,51.51037345755036,-0.749471908809205
Eling Farm,Yattendon,/wiki/Yattendon,SU53237523,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=237286&resourceID=19191,51.473540103899566,-1.234955408185117
Kintbury,Kintbury,/wiki/Kintbury,SU39416715,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=228668&resourceID=19191,51.40202057083811,-1.4348398655612067
Maddle Farm,Upper Lambourn,/wiki/Upper_Lambourn,SU301828,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=229360&resourceID=19191,51.54330222722977,-1.567349684409034
Maidenhatch,Pangbourne,/wiki/Pangbourne,SU61757378,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=241612&resourceID=19191,51.459639936784704,-1.1125333245466502
Maidenhead,Maidenhead,/wiki/Maidenhead,SU88068110,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=248410&resourceID=19191,51.52196539064059,-0.7319955374203215
Well House Farm,Hermitage,/wiki/Hermitage_Berkshire,SU52347258,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=237389&resourceID=19191,51.44979748051596,-1.2481615774060562
Bancroft,Milton Keynes(StantonburyCP),/wiki/Milton_Keynes,SP82714036,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=345174&resourceID=19191,52.05546433101605,-0.7950008737950199
Foxcote,Foscott,/wiki/Foscott_Buckinghamshire,SP72233530,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=342930&resourceID=19191,52.01144235333488,-0.9489283026043541
Hambleden,Hambleden,/wiki/Hambleden,SU78398554,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=245181&resourceID=19191,51.56330242642052,-0.8704002841922645
Hambleden,Hambleden,/wiki/Hambleden,SU78638483,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=245271&resourceID=19191,51.55688643995318,-0.8670962805161074
High Wycombe,High Wycombe,/wiki/High_Wycombe,SU87409239,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=248726&resourceID=19191,51.62355557380754,-0.7387030035343087
Latimer,Latimer,/wiki/Latimer_Buckinghamshire,SU99779852,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=251990&resourceID=19191,51.676599916326175,-0.5582454820365369
Lavendon,Lavendon,/wiki/Lavendon,SP90895409,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=346970&resourceID=19191,52.17759145673135,-0.6720255587328442
Mursley,Mursley,/wiki/Mursley,SP83263038,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=344806&resourceID=19191,51.96567520013453,-0.7894024064458939
Saunderton,Saunderton,/wiki/Saunderton,SP79710190,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=342603&resourceID=19191,51.7101848936739,-0.847633994024418
Stanton Low,Milton Keynes(StantonburyCP),/wiki/Milton_Keynes,SP841430,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=345100&resourceID=19191,52.07898513390677,-0.7740767551010526
Thornton,Thornton,/wiki/Thornton_Buckinghamshire,SP75653672,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=342881&resourceID=19191,52.023751829679966,-0.8987816694852018
Barnack,Barnack,/wiki/Barnack,TF08030663,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=347802&resourceID=19191,52.64666211085664,-0.4043759831902194
Bartlow,Bartlow,/wiki/Bartlow,TL58724499,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=374140&resourceID=19191,52.08052060335851,0.31579849280460615
Castor,Castor,/wiki/Castor_Cambridgeshire,TL12609725,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=364439&resourceID=19191,52.561445311103846,-0.34000883046621083
Comberton,Comberton,/wiki/Comberton,TL38455489,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=368941&resourceID=19191,52.17490668626051,0.02391144249007386
Croydon,Croydon,/wiki/Croydon_Cambridgeshire,TL324483,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=368572&resourceID=19191,52.117176779385986,-0.06715678452685989
Fordham,Fordham,/wiki/Fordham_Cambridgeshire,TL635684,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=377396&resourceID=19191,52.28941312758743,0.39687827424064553
Godmanchester,Godmanchester,/wiki/Godmanchester,TL257713,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=366565&resourceID=19191,52.32541062096616,-0.1564895466358735
Great Wilbraham,Great Wilbraham,/wiki/Great_Wilbraham,TL55825763,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=1095800&resourceID=19191,52.19489368164769,0.2792593475135934
Guilden Morden,Guilden Morden,/wiki/Guilden_Morden,TL27634054,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=365953&resourceID=19191,52.04856739999799,-0.13974464846198967
Helpston,Helpston,/wiki/Helpston,TF12370408,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=350328&resourceID=19191,52.62286733364693,-0.3410846046308299
Huntingdon,Huntingdon,/wiki/Huntingdon,TL23667138,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=366748&resourceID=19191,52.32659247193216,-0.1864009317989923
Ickleton,Ickleton,/wiki/Ickleton,TL496431,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=371050&resourceID=19191,52.06607803021125,0.18182886236140683
Itter Crescent,Walton Peterborough,/wiki/Walton_Peterborough,TF182020,N/A,52.602940819940244,-0.25568759179986983
Linton,Linton,/wiki/Linton_Cambridgeshire,TL57594615,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=374014&resourceID=19191,52.0912637728011,0.29983840443316256
Litlington,Litlington,/wiki/Litlington_Cambridgeshire,TL31264247,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=368682&resourceID=19191,52.06506268280681,-0.08605580439191672
Orton Longueville,Orton Longueville,/wiki/Orton_Longueville,TL176956,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=364221&resourceID=19191,52.54556243262161,-0.2668198746254303
Pilsgate,Barnack,/wiki/Barnack,TF05670651,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=347808&resourceID=19191,52.64604804230438,-0.43930271103323765
Reach,Reach,/wiki/Reach_Cambridgeshire,TL57266518,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=374665&resourceID=19191,52.26230752824078,0.30384840397415663
Rushey Farm,Great Staughton,/wiki/Great_Staughton,TL13466304,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=363484&resourceID=19191,52.25384681974883,-0.3389157080190881
Sacrewell Lodge,Thornhaugh,/wiki/Thornhaugh,TF07630046,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=348090&resourceID=19191,52.59129612977088,-0.4122977416185488
Teversham,Teversham,/wiki/Teversham,TL49965752,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=371259&resourceID=19191,52.195528958076764,0.19344366960117945
Water Newton,Water Newton,/wiki/Water_Newton,TL111973,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=364448&resourceID=19191,52.56220259757295,-0.3621242307408682
